# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [002] dNh1. 83409.292648: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [003] d.h1. 83409.293594: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.293600: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.294595: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.294599: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.295601: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.295607: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.296597: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.296601: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.297336: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.297341: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.297598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.297602: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.298590: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.298593: irq_handler_exit: irq=10 ret=handled
