# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:2-9200    [000] d.h1. 36819.211459: xhci_urb_giveback: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484160 slot 1 length 0/0 sgs 0/0 stream 0 flags 00000000
     kworker/0:2-9200    [000] d.h1. 36819.211459: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4050(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.211478: xhci_urb_enqueue: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484288 slot 1 length 0/18 sgs 0/0 stream 0 flags 00110200
     kworker/0:0-3233    [000] d..1. 36819.211479: xhci_queue_trb: CTRL: bRequestType 80 bRequest 06 wValue 0100 wIndex 0000 wLength 18 length 8 TD size 0 intr 0 type 'Setup Stage' flags I:i:c
     kworker/0:0-3233    [000] d..1. 36819.211479: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549060(0x0000000061549000) deq 0x0000000061549050(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211480: xhci_queue_trb: CTRL: Buffer 000000004354e3c0 length 18 TD size 0 intr 0 type 'Data Stage' flags i:i:c:s:I:e:C
     kworker/0:0-3233    [000] d..1. 36819.211480: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549070(0x0000000061549000) deq 0x0000000061549050(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211481: xhci_queue_trb: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:0-3233    [000] d..1. 36819.211481: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549080(0x0000000061549000) deq 0x0000000061549050(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211481: xhci_ring_ep_doorbell: Ring doorbell for Slot 1 ep0in
     kworker/0:0-3233    [000] d.h1. 36819.211515: xhci_handle_event: EVENT: TRB 0000000061549070 status 'Success' len 0 slot 1 ep 1 type 'Transfer Event' flags e:C
     kworker/0:0-3233    [000] d.h1. 36819.211515: xhci_handle_transfer: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:0-3233    [000] d.h1. 36819.211516: xhci_inc_deq: CTRL 00000000b5ea8a38: enq 0x0000000061549080(0x0000000061549000) deq 0x0000000061549080(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d.h1. 36819.211516: xhci_urb_giveback: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484288 slot 1 length 18/18 sgs 0/0 stream 0 flags 00110200
     kworker/0:0-3233    [000] d.h1. 36819.211516: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4060(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.211535: xhci_urb_enqueue: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484288 slot 1 length 0/5 sgs 0/0 stream 0 flags 00110200
     kworker/0:0-3233    [000] d..1. 36819.211535: xhci_queue_trb: CTRL: bRequestType 80 bRequest 06 wValue 0f00 wIndex 0000 wLength 5 length 8 TD size 0 intr 0 type 'Setup Stage' flags I:i:c
     kworker/0:0-3233    [000] d..1. 36819.211535: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549090(0x0000000061549000) deq 0x0000000061549080(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211536: xhci_queue_trb: CTRL: Buffer 00000000440f2300 length 5 TD size 0 intr 0 type 'Data Stage' flags i:i:c:s:I:e:C
     kworker/0:0-3233    [000] d..1. 36819.211536: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x00000000615490a0(0x0000000061549000) deq 0x0000000061549080(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211536: xhci_queue_trb: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:0-3233    [000] d..1. 36819.211536: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x00000000615490b0(0x0000000061549000) deq 0x0000000061549080(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
